code_prefix,country_id,country_code,country_title,region_title,current_rate,billing_term,last_updated,rate_status
"35558373","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558424","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558460","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558484","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558494","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558540","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558564","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558580","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558594","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558624","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558670","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558693","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558724","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558764","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558790","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558824","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558842","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558852","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558882","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558924","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558953","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35558983","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559150","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559240","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559324","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559360","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559394","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559424","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559462","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559492","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559540","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559572","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559622","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559664","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559674","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559684","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559694","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559722","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559754","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35559770","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
